model,split,setting,threshold,precision,recall,f1,roc_auc,pr_auc,tn,fp,fn,tp
logistic_regression,val,default_0.5,0.5,0.06707946336429309,0.8783783783783784,0.12464046021093,0.9683900961951001,0.6300872677700333,41743,904,9,65
logistic_regression,val,review_p>=0.10,0.7000000000000001,0.13195876288659794,0.8648648648648649,0.22898032200357782,0.9683900961951001,0.6300872677700333,42226,421,10,64
logistic_regression,val,high_p>=0.80,0.99,0.5673076923076923,0.7972972972972973,0.6629213483146067,0.9683900961951001,0.6300872677700333,42602,45,15,59
